00:02:33.796 [main] WARN  by.bsu.training.geometry.action.CircleAction countPerimeter - r=16
00:02:33.819 [main] WARN  by.bsu.training.geometry.action.CircleAction countSquare - r=16
00:02:33.836 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.836 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.837 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.838 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.838 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.839 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.840 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.841 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.841 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.842 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.846 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.847 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.848 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.849 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.850 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.850 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.851 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.852 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.853 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.853 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.855 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.855 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.856 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.857 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.858 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.858 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.860 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.860 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.861 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.861 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.864 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.865 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=1
00:02:33.866 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.866 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.868 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.868 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.869 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.869 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.871 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.871 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.873 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.873 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.874 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.875 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.876 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.876 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.877 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.878 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=6
00:02:33.879 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.879 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.881 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.881 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.882 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.883 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.884 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.884 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.886 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.886 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.887 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.888 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.890 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.890 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.891 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=15
00:02:33.892 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=20
00:02:33.893 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.894 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=-3
00:02:33.895 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=1
00:02:33.896 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - r=0
00:02:33.897 [main] WARN  by.bsu.training.geometry.action.CircleAction countSquare - r=-3
00:02:33.898 [main] WARN  by.bsu.training.geometry.action.CircleAction countSquare - r=0
00:02:33.899 [main] WARN  by.bsu.training.geometry.action.CircleAction countPerimeter - r=-3
00:02:33.900 [main] WARN  by.bsu.training.geometry.action.CircleAction countPerimeter - r=0
00:02:33.901 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=0
00:02:33.902 [main] WARN  by.bsu.training.geometry.action.CircleAction isSpecialIntersection - dist=-3
